y,x1,x2,x3,x4
0.9,31.3,18.9,43.0,40.9
1.7,13.4,13.7,64.7,40.5
0.7,4.5,18.5,24.0,38.9
1.7,10.0,4.8,50.2,38.5
2.6,20.0,21.8,106.0,37.3
1.3,15.0,5.8,96.6,26.5
4.1,137.1,99.0,347.0,37.0
1.6,17.9,20.1,85.6,36.8
6.9,165.4,60.6,745.0,36.3
0.4,2.0,1.4,4.1,35.3
1.3,6.8,8.0,26.8,35.3
1.9,27.1,18.9,42.7,35.0
1.9,13.4,13.2,61.8,26.2
1.4,9.8,12.6,212.0,33.1
0.4,19.5,12.2,105.0,32.7
0.8,6.8,3.2,33.5,32.1
1.8,27.0,13.0,142.0,30.5
0.9,12.4,6.9,96.0,29.8
1.1,17.7,15.0,140.0,25.4
1.9,12.7,11.9,59.3,29.3
-0.9,21.4,1.6,131.0,29.2
1.3,13.5,8.6,70.7,29.2
2.0,13.4,11.5,65.4,29.1
0.6,4.2,1.9,23.1,27.9
0.7,15.5,5.8,80.8,27.2